tip_id,year,unit_id,pcs_off_id,unit_type,treatment,StartDate,start_year,cohort_2022,gender,race,year_of_birth,age_of_first_offense,num_sentences_before_start,any_high_ogs_before_start,num_offenses_before_start,earnings_2yr_preTIP,job_right_before_tip,psm_distance,upper_date,year_offset,year_start_date,year_end_date,in_post_1p5_window,post,earnings_year,employed_year,has_prior_offense_by_year,has_offense_by_year,offense_count_year,has_offense_year,has_prior_offense_before_start,recidivism_year,treatment_post,treatment_post_cohort,log_earnings_year
30,2013,C_30_1010563.0,1010563,control,0,2013/4/29,2013,0,Male,Black,1988,20,2,1,2,0,0,0.625409265,2014/10/28,0,2013/1/1,2014/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
30,2013,P_30,,participant,1,2013/4/29,2013,0,Male,Black,1988,20,3,1,1,0,0,0,2014/10/28,0,2013/1/1,2014/1/1,1,1,0,0,1,1,0,0,1,0,1,0,0
30,2014,C_30_1010563.0,1010563,control,0,2013/4/29,2013,0,Male,Black,1988,20,2,1,2,0,0,0.625409265,2014/10/28,1,2014/1/1,2015/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
30,2014,P_30,,participant,1,2013/4/29,2013,0,Male,Black,1988,20,3,1,1,0,0,0,2014/10/28,1,2014/1/1,2015/1/1,1,1,0,0,1,1,0,0,1,0,1,0,0
33,2008,C_33_1106066.0,1106066,control,0,2010/8/16,2010,0,Male,White,1982,,1,0,0,0,0,1,2012/2/14,-2,2008/1/1,2009/1/1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2008,P_33,,participant,1,2010/8/16,2010,0,Male,White,1982,,0,0,0,0,0,0,2012/2/14,-2,2008/1/1,2009/1/1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2009,C_33_1106066.0,1106066,control,0,2010/8/16,2010,0,Male,White,1982,,1,0,0,0,0,1,2012/2/14,-1,2009/1/1,2010/1/1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2009,P_33,,participant,1,2010/8/16,2010,0,Male,White,1982,,0,0,0,0,0,0,2012/2/14,-1,2009/1/1,2010/1/1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2010,C_33_1106066.0,1106066,control,0,2010/8/16,2010,0,Male,White,1982,,1,0,0,0,0,1,2012/2/14,0,2010/1/1,2011/1/1,1,1,0,0,0,0,0,0,0,0,0,0,0
33,2010,P_33,,participant,1,2010/8/16,2010,0,Male,White,1982,,0,0,0,0,0,0,2012/2/14,0,2010/1/1,2011/1/1,1,1,0,0,0,0,0,0,0,0,1,0,0
33,2011,C_33_1106066.0,1106066,control,0,2010/8/16,2010,0,Male,White,1982,,1,0,0,0,0,1,2012/2/14,1,2011/1/1,2012/1/1,1,1,0,0,0,0,0,0,0,0,0,0,0
33,2011,P_33,,participant,1,2010/8/16,2010,0,Male,White,1982,,0,0,0,0,0,0,2012/2/14,1,2011/1/1,2012/1/1,1,1,0,0,0,0,0,0,0,0,1,0,0
35,2012,C_35_1552735.0,1552735,control,0,2014/3/10,2014,0,Male,Black,1991,20,6,1,6,0,0,1.177149831,2015/9/8,-2,2012/1/1,2013/1/1,0,0,0,0,0,1,0,0,1,0,0,0,0
35,2012,P_35,,participant,1,2014/3/10,2014,0,Male,Black,1991,20,7,1,3,0,0,0,2015/9/8,-2,2012/1/1,2013/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
35,2013,C_35_1552735.0,1552735,control,0,2014/3/10,2014,0,Male,Black,1991,20,6,1,6,0,0,1.177149831,2015/9/8,-1,2013/1/1,2014/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
35,2013,P_35,,participant,1,2014/3/10,2014,0,Male,Black,1991,20,7,1,3,0,0,0,2015/9/8,-1,2013/1/1,2014/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
35,2014,C_35_1552735.0,1552735,control,0,2014/3/10,2014,0,Male,Black,1991,20,6,1,6,0,0,1.177149831,2015/9/8,0,2014/1/1,2015/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
35,2014,P_35,,participant,1,2014/3/10,2014,0,Male,Black,1991,20,7,1,3,0,0,0,2015/9/8,0,2014/1/1,2015/1/1,1,1,0,0,1,1,1,1,1,1,1,0,0
35,2015,C_35_1552735.0,1552735,control,0,2014/3/10,2014,0,Male,Black,1991,20,6,1,6,0,0,1.177149831,2015/9/8,1,2015/1/1,2016/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
35,2015,P_35,,participant,1,2014/3/10,2014,0,Male,Black,1991,20,7,1,3,0,0,0,2015/9/8,1,2015/1/1,2016/1/1,1,1,0,0,1,1,0,0,1,0,1,0,0
42,2008,C_42_1278377.0,1278377,control,0,2010/8/2,2010,0,Male,Black,1989,18,7,1,7,0,0,1.71627494,2012/1/31,-2,2008/1/1,2009/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
